comb	times
ฐอ	0.0
ฐฮ	0.0
ฐะ	0.0
ฐั	0.0
ฐา	12.0
ฐำ	0.0
ฐิ	0.0
ฐี	0.0
ฐึ	0.0
ฐื	0.0
ฐุ	0.0
ฐู	0.0
ฐเ	0.0
ฐแ	3.0
ฐโ	0.0
ฐใ	0.0
ฐไ	1.0
ฐๆ	0.0
ฐ็	0.0
ฐ่	0.0
ฐ้	0.0
ฐ๋	0.0
ฐ์	1.0
ฐ‘	0.0
ฐ’	0.0
ฐ“	0.0
ฐ”	0.0
ณก	8.0
ณข	13.0
ณค	0.0
ณฆ	0.0
ณง	0.0
ณจ	1.0
ณฉ	0.0
ณช	0.0
ณซ	1.0
ณญ	0.0
ณฏ	0.0
ณฐ	0.0
ณณ	0.0
ณด	0.0
ณต	0.0
ณถ	0.0
ณท	3.0
ณธ	0.0
ณน	4.0
ณบ	6.0
ณป	1.0
ณผ	0.0
ณฝ	0.0
ณพ	5.0
ณฟ	0.0
ณภ	0.0
ณม	1.0
ณย	0.0
ณร	0.0
ณฤ	0.0
ณล	0.0
ณว	1.0
ณศ	0.0
ณษ	0.0
ณส	0.0
ณห	7.0
ณอ	1.0
ณฮ	0.0
ณะ	7.0
ณั	0.0
ณา	5.0
ณำ	0.0
ณิ	0.0
ณี	1.0
ณึ	0.0
ณื	0.0
ณุ	0.0
ณู	0.0
ณเ	1.0
ณแ	7.0
ณโ	0.0
ณใ	0.0
ณไ	2.0
ณๆ	0.0
ณ็	0.0
ณ่	0.0
ณ้	0.0
ณ๋	0.0
ณ์	21.0
ณ‘	0.0
ณ’	0.0
ณ“	0.0
ณ”	0.0
ดก	22.0
ดข	18.0
ดค	13.0
ดฆ	0.0
ดง	11.0
ดจ	12.0
ดฉ	0.0
ดช	10.0
ดซ	1.0
ดญ	0.0
ดฏ	0.0
ดฐ	0.0
ดณ	0.0
ดด	3.0
ดต	12.0
ดถ	17.0
ดท	27.0
ดธ	2.0
ดน	39.0
ดบ	3.0
ดป	10.0
ดผ	3.0
ดฝ	1.0
ดพ	8.0
ดฟ	0.0
ดภ	0.0
ดม	13.0
ดย	165.0
ดร	13.0
ดฤ	0.0
ดล	0.0
ดว	3.0
ดศ	0.0
ดษ	0.0
ดส	11.0
ดห	7.0
ดอ	8.0
ดฮ	0.0
ดะ	0.0
ดั	18.0
ดา	89.0
ดำ	25.0
ดิ	11.0
ดี	103.0
ดึ	0.0
ดื	4.0
ดุ	8.0
ดู	5.0
ดเ	30.0
ดแ	8.0
ดโ	5.0
ดใ	10.0
ดไ	12.0
ดๆ	0.0
ด็	3.0
ด่	20.0
ด้	498.0
ด๋	0.0
ด์	0.0
ด‘	0.0
ด’	2.0
ด“	0.0
ด”	1.0
ตก	8.0
ตข	9.0
ตค	0.0
ตฆ	0.0
ตง	0.0
ตจ	6.0
ตฉ	1.0
ตช	0.0
ตซ	2.0
ตญ	0.0
ตฏ	0.0
ตฐ	0.0
ตณ	0.0
ตด	3.0
ตต	18.0
ตถ	1.0
ตท	0.0
ตธ	0.0
ตน	21.0
ตบ	0.0
ตป	0.0
ตผ	0.0
ตฝ	0.0
ตพ	1.0
ตฟ	0.0
ตภ	0.0
ตม	0.0
ตย	8.0
ตร	65.0
ตฤ	0.0
ตล	2.0
ตว	13.0
ตศ	0.0
ตษ	0.0
ตส	4.0
ตห	0.0
ตอ	27.0
ตฮ	0.0
ตะ	1.0
ตั	66.0
ตา	169.0
ตำ	2.0
ติ	207.0
ตี	10.0
ตึ	0.0
ตื	9.0
ตุ	58.0
ตู	0.0
ตเ	6.0
ตแ	9.0
ตโ	4.0
ตใ	11.0
ตไ	1.0
ตๆ	0.0
ต็	9.0
ต่	282.0
ต้	42.0
ต๋	0.0
ต์	75.0
ต‘	0.0
ต’	0.0
ต“	0.0
ต”	0.0
ถก	1.0
ถข	0.0
ถค	0.0
ถฆ	0.0
ถง	0.0
ถจ	0.0
ถฉ	0.0
ถช	0.0
ถซ	0.0
ถญ	0.0
ถฏ	0.0
ถฐ	0.0
ถณ	0.0
ถด	0.0
ถต	0.0
ถถ	0.0
ถท	4.0
ถธ	0.0
ถน	3.0
ถบ	0.0
ถป	0.0
ถผ	0.0
ถฝ	0.0
ถพ	0.0
ถฟ	0.0
ถภ	0.0
ถม	0.0
ถย	0.0
ถร	0.0
ถฤ	0.0
ถล	0.0
ถว	18.0
ถศ	0.0
ถษ	0.0
ถส	0.0
ถห	0.0
ถอ	2.0
ถฮ	0.0
ถะ	0.0
ถั	0.0
ถา	2.0
ถำ	0.0
ถิ	16.0
ถี	2.0
ถึ	38.0
ถื	29.0
ถุ	0.0
ถู	95.0
ถเ	1.0
ถแ	1.0
ถโ	0.0
ถใ	1.0
ถไ	0.0
ถๆ	0.0
ถ็	0.0
ถ่	7.0
ถ้	68.0
ถ๋	0.0
ถ์	1.0
ถ‘	0.0
ถ’	0.0
ถ“	0.0
ถ”	0.0
ทก	1.0
ทข	2.0
ทค	0.0
ทฆ	0.0
ทง	0.0
ทจ	2.0
ทฉ	0.0
ทช	0.0
ทซ	0.0
ทญ	0.0
ทฏ	0.0
ทฐ	0.0
ทณ	0.0
ทด	0.0
ทต	0.0
ทถ	0.0
ทท	0.0
ทธ	42.0
ทน	16.0
ทบ	1.0
ทป	0.0
ทผ	0.0
ทฝ	0.0
ทพ	2.0
ทฟ	0.0
ทภ	0.0
ทม	1.0
ทย	0.0
ทร	199.0
ทฤ	0.0
ทล	0.0
ทว	0.0
ทศ	3.0
ทษ	25.0
ทส	0.0
ทห	0.0
ทอ	5.0
ทฮ	0.0
ทะ	1.0
ทั	156.0
ทา	106.0
ทำ	138.0
ทิ	10.0
ที	329.0
ทึ	0.0
ทื	0.0
ทุ	69.0
ทู	6.0
ทเ	0.0
ทแ	1.0
ทโ	1.0
ทใ	1.0
ทไ	0.0
ทๆ	0.0
ท็	2.0
ท่	249.0
ท้	14.0
ท๋	0.0
ท์	0.0
ท‘	0.0
ท’	0.0
ท“	0.0
ท”	0.0
ธก	0.0
ธข	1.0
ธค	0.0
ธฆ	0.0
ธง	0.0
ธจ	0.0
ธฉ	0.0
ธช	0.0
ธซ	0.0
ธญ	0.0
ธฏ	0.0
ธฐ	0.0
ธณ	0.0
ธด	1.0
ธต	0.0
ธถ	0.0
ธท	0.0
ธธ	0.0
ธน	0.0
ธบ	0.0
ธป	0.0
ธผ	0.0
ธฝ	0.0
ธพ	0.0
ธฟ	0.0
ธภ	0.0
ธม	0.0
ธย	1.0
ธร	104.0
ธฤ	0.0
ธล	0.0
ธว	0.0
ธศ	0.0
ธษ	0.0
ธส	3.0
ธห	0.0
ธอ	0.0
ธฮ	0.0
ธะ	0.0
ธั	0.0
ธา	4.0
ธำ	0.0
ธิ	47.0
ธี	3.0
ธึ	0.0
ธื	0.0
ธุ	3.0
ธู	0.0
ธเ	0.0
ธแ	2.0
ธโ	1.0
ธใ	1.0
ธไ	0.0
ธๆ	0.0
ธ็	0.0
ธ่	0.0
ธ้	0.0
ธ๋	0.0
ธ์	1.0
ธ‘	0.0
ธ’	0.0
ธ“	0.0
ธ”	0.0
นก	126.0
นข	70.0
นค	91.0
นฆ	0.0
นง	0.0
นจ	75.0
นฉ	8.0
นช	47.0
นซ	20.0
นญ	2.0
นฏ	0.0
นฐ	2.0
นณ	0.0
นด	49.0
นต	64.0
นถ	15.0
นท	175.0
นธ	5.0
นน	74.0
นบ	59.0
นป	6.0
นผ	34.0
นฝ	2.0
นพ	103.0
นฟ	2.0
นภ	3.0
นม	67.0
นย	14.0
นร	23.0
นฤ	1.0
นล	5.0
นว	14.0
นศ	4.0
นษ	0.0
นส	41.0
นห	40.0
นอ	102.0
นฮ	0.0
นะ	13.0
นั	409.0
นา	52.0
นำ	22.0
นิ	29.0
นี	93.0
นึ	29.0
นื	44.0
นุ	34.0
นู	0.0
นเ	244.0
นแ	83.0
นโ	29.0
นใ	64.0
นไ	79.0
นๆ	0.0
น็	1.0
น่	8.0
น้	50.0
น๋	0.0
น์	8.0
น‘	0.0
น’	8.0
น“	0.0
น”	2.0
บก	26.0
บข	20.0
บค	46.0
บฆ	0.0
บง	5.0
บจ	1.0
บฉ	0.0
บช	4.0
บซ	2.0
บญ	0.0
บฏ	1.0
บฐ	0.0
บณ	0.0
บด	2.0
บต	4.0
บถ	1.0
บท	10.0
บธ	84.0
บน	13.0
บบ	24.0
บป	6.0
บผ	3.0
บฝ	1.0
บพ	56.0
บฟ	1.0
บภ	1.0
บม	3.0
บย	0.0
บร	106.0
บฤ	0.0
บล	4.0
บว	29.0
บศ	0.0
บษ	0.0
บส	9.0
บห	8.0
บอ	15.0
บฮ	0.0
บะ	0.0
บั	147.0
บา	85.0
บำ	2.0
บิ	12.0
บี	2.0
บึ	0.0
บื	2.0
บุ	31.0
บู	17.0
บเ	28.0
บแ	7.0
บโ	8.0
บใ	40.0
บไ	9.0
บๆ	0.0
บ็	0.0
บ่	1.0
บ้	10.0
บ๋	0.0
บ์	0.0
บ‘	0.0
บ’	0.0
บ“	0.0
บ”	0.0
ปก	8.0
ปข	0.0
ปค	2.0
ปฆ	1.0
ปง	0.0
ปจ	2.0
ปฉ	2.0
ปช	0.0
ปซ	3.0
ปญ	0.0
ปฏ	1.0
ปฐ	0.0
ปณ	0.0
