comb	times
dY	0.0
dZ	0.0
d[	0.0
d]	0.0
da	18.0
db	0.0
dc	0.0
dd	2.0
de	239.0
df	0.0
dg	61.0
dh	0.0
di	45.0
dj	0.0
dk	0.0
dl	1.0
dm	0.0
dn	0.0
do	116.0
dp	0.0
dq	0.0
dr	14.0
ds	25.0
dt	0.0
du	0.0
dv	0.0
dw	0.0
dx	0.0
dy	14.0
eA	0.0
eB	0.0
eC	0.0
eD	0.0
eE	0.0
eF	0.0
eG	0.0
eH	0.0
eI	0.0
eJ	0.0
eL	0.0
eM	0.0
eN	0.0
eO	0.0
eP	0.0
eQ	0.0
eR	0.0
eS	0.0
eT	0.0
eU	0.0
eW	0.0
eY	0.0
eZ	0.0
e[	0.0
e]	0.0
ea	249.0
eb	15.0
ec	94.0
ed	132.0
ee	147.0
ef	35.0
eg	1.0
eh	5.0
ei	74.0
ej	0.0
ek	6.0
el	100.0
em	56.0
en	293.0
eo	66.0
ep	30.0
eq	4.0
er	471.0
es	350.0
et	103.0
eu	1.0
ev	82.0
ew	35.0
ex	7.0
ey	60.0
fA	0.0
fB	0.0
fC	0.0
fD	0.0
fE	0.0
fF	0.0
fG	0.0
fH	0.0
fI	0.0
fJ	0.0
fL	0.0
fM	0.0
fN	0.0
fO	0.0
fP	0.0
fQ	0.0
fR	0.0
fS	0.0
fT	0.0
fU	0.0
fW	0.0
fY	0.0
fZ	0.0
f[	0.0
f]	0.0
fa	98.0
fb	0.0
fc	0.0
fd	0.0
fe	83.0
ff	29.0
fg	0.0
fh	0.0
fi	21.0
fj	0.0
fk	0.0
fl	28.0
fm	0.0
fn	0.0
fo	167.0
fp	0.0
fq	0.0
fr	86.0
fs	0.0
ft	9.0
fu	15.0
fv	0.0
fw	0.0
fx	0.0
fy	0.0
gA	0.0
gB	0.0
gC	0.0
gD	0.0
gE	0.0
gF	0.0
gG	0.0
gH	0.0
gI	0.0
gJ	0.0
gL	0.0
gM	0.0
gN	0.0
gO	0.0
gP	0.0
gQ	0.0
gR	0.0
gS	0.0
gT	0.0
gU	0.0
gW	0.0
gY	0.0
gZ	0.0
g[	0.0
g]	0.0
ga	62.0
gb	0.0
gc	0.0
gd	16.0
ge	107.0
gf	0.0
gg	0.0
gh	183.0
gi	125.0
gj	0.0
gk	0.0
gl	25.0
gm	0.0
gn	3.0
go	81.0
gp	0.0
gq	0.0
gr	38.0
gs	63.0
gt	2.0
gu	7.0
gv	0.0
gw	0.0
gx	0.0
gy	0.0
hA	0.0
hB	0.0
hC	0.0
hD	0.0
hE	0.0
hF	0.0
hG	0.0
hH	0.0
hI	0.0
hJ	0.0
hL	0.0
hM	0.0
hN	0.0
hO	0.0
hP	0.0
hQ	0.0
hR	0.0
hS	0.0
hT	0.0
hU	0.0
hW	0.0
hY	0.0
hZ	0.0
h[	0.0
h]	0.0
ha	538.0
hb	4.0
hc	0.0
hd	0.0
he	1169.0
hf	0.0
hg	0.0
hh	0.0
hi	371.0
hj	0.0
hk	0.0
hl	1.0
hm	10.0
hn	0.0
ho	395.0
hp	0.0
hq	0.0
hr	116.0
hs	1.0
ht	116.0
hu	15.0
hv	0.0
hw	0.0
hx	0.0
hy	8.0
iA	0.0
iB	0.0
iC	0.0
iD	0.0
iE	0.0
iF	0.0
iG	0.0
iH	0.0
iI	0.0
iJ	0.0
iL	0.0
iM	0.0
iN	0.0
iO	0.0
iP	0.0
iQ	0.0
iR	0.0
iS	0.0
iT	0.0
iU	0.0
iW	0.0
iY	0.0
iZ	0.0
i[	0.0
i]	0.0
ia	11.0
ib	5.0
ic	93.0
id	64.0
ie	27.0
if	105.0
ig	124.0
ih	0.0
ii	0.0
ij	1.0
ik	9.0
il	188.0
im	97.0
in	766.0
io	110.0
ip	10.0
iq	0.0
ir	157.0
is	545.0
it	395.0
iu	3.0
iv	168.0
iw	0.0
ix	2.0
iy	0.0
jA	0.0
jB	0.0
jC	0.0
jD	0.0
jE	0.0
jF	0.0
jG	0.0
jH	0.0
jI	0.0
jJ	0.0
jL	0.0
jM	0.0
jN	0.0
jO	0.0
jP	0.0
jQ	0.0
jR	0.0
jS	0.0
jT	0.0
jU	0.0
jW	0.0
jY	0.0
jZ	0.0
j[	0.0
j]	0.0
ja	2.0
jb	0.0
jc	0.0
jd	0.0
je	0.0
jf	0.0
jg	0.0
jh	0.0
ji	0.0
jj	0.0
jk	0.0
jl	0.0
jm	0.0
jn	0.0
jo	13.0
jp	0.0
jq	0.0
jr	0.0
js	0.0
jt	0.0
ju	24.0
jv	0.0
jw	0.0
jx	0.0
jy	0.0
kA	0.0
kB	0.0
kC	0.0
kD	0.0
kE	0.0
kF	0.0
kG	0.0
kH	0.0
kI	0.0
kJ	0.0
kL	0.0
kM	0.0
kN	0.0
kO	0.0
kP	0.0
kQ	0.0
kR	0.0
kS	0.0
kT	0.0
kU	0.0
kW	0.0
kY	0.0
kZ	0.0
k[	0.0
k]	0.0
ka	0.0
kb	0.0
kc	0.0
kd	0.0
ke	124.0
kf	0.0
kg	0.0
kh	0.0
ki	37.0
kj	0.0
kk	0.0
kl	0.0
km	0.0
kn	39.0
ko	0.0
kp	0.0
kq	0.0
kr	0.0
ks	17.0
kt	0.0
ku	0.0
kv	0.0
kw	0.0
kx	0.0
ky	0.0
lA	0.0
lB	0.0
lC	0.0
lD	0.0
lE	0.0
lF	0.0
lG	0.0
lH	0.0
lI	0.0
lJ	0.0
lL	0.0
lM	0.0
lN	0.0
lO	0.0
lP	0.0
lQ	0.0
lR	0.0
lS	0.0
lT	0.0
lU	0.0
lW	0.0
lY	0.0
lZ	0.0
l[	0.0
l]	0.0
la	109.0
lb	0.0
lc	0.0
ld	30.0
le	252.0
lf	22.0
lg	0.0
lh	0.0
li	103.0
lj	0.0
lk	3.0
ll	213.0
lm	0.0
ln	0.0
lo	85.0
lp	7.0
lq	0.0
lr	0.0
ls	8.0
lt	6.0
lu	1.0
lv	32.0
lw	0.0
lx	0.0
ly	69.0
mA	0.0
mB	0.0
mC	0.0
mD	0.0
mE	0.0
mF	0.0
mG	0.0
mH	0.0
mI	0.0
mJ	0.0
mL	0.0
mM	0.0
mN	0.0
mO	0.0
mP	0.0
mQ	0.0
mR	0.0
mS	0.0
mT	0.0
mU	0.0
mW	0.0
mY	0.0
mZ	0.0
m[	0.0
m]	0.0
ma	207.0
mb	11.0
mc	20.0
md	0.0
me	245.0
mf	5.0
mg	0.0
mh	0.0
mi	71.0
mj	0.0
mk	0.0
ml	0.0
mm	1.0
mn	0.0
mo	41.0
mp	11.0
mq	0.0
mr	0.0
ms	15.0
mt	0.0
mu	12.0
mv	0.0
mw	0.0
mx	0.0
my	65.0
nA	0.0
nB	0.0
nC	0.0
nD	0.0
nE	0.0
nF	0.0
nG	0.0
nH	0.0
nI	0.0
nJ	0.0
nL	0.0
nM	0.0
nN	0.0
nO	0.0
